transaction_name,amount,category,category_encoded
NETFLIX*SUBSCRIPTION - <ID>,71000.0,Hiburan,1
ISI BENSIN PERTAMINA - <ID>,62000.0,Transport,4
GRABFOOD MEMO - <ID>,122000.0,Makanan & Minuman,2
KOPI KENANGAN CAFE - <ID>,115250.0,Makanan & Minuman,2
BOOKING HOTEL TRAVELOKA - <ID>,37750.0,Transport,4
DRV GROCERY INDOMARET - <ID>,109890.0,Makanan & Minuman,2
DRV TIKET BIOSKOP XXI - <ID>,290000.0,Hiburan,1
DRV TIKET BIOSKOP XXI - <ID>,182500.0,Hiburan,1
TIKET BIOSKOP XXI - <ID>,307470.0,Hiburan,1
K0P1 K3N4NG4N C4F3 - <ID>,21090.0,Makanan & Minuman,2
MAKAN DI RESTORAN - <ID>,116550.0,Makanan & Minuman,2
P3MB4Y4R4N P4M*PD4M - <ID>,557500.0,Tagihan,3
M13 G4C04N R3ST - <ID>,40500.0,Makanan & Minuman,2
TIKET BIOSKOP XXI - <ID>,163170.0,Hiburan,1
TOKOPEDIA*MEMO - <ID>,346250.0,Belanja,0
TOKOPEDIA*MEMO - <ID>,444000.0,Belanja,0
IKEA*MEMO - <ID>,398500.0,Belanja,0
BOOKING HOTEL TRAVELOKA - <ID>,26640.0,Transport,4
INTERNET WIFI BROADBAND - <ID>,262750.0,Tagihan,3
MAKAN DI RESTORAN - <ID>,74100.0,Makanan & Minuman,2
K0P1 K3N4NG4N C4F3 - <ID>,29000.0,Makanan & Minuman,2
AMUSEMENT PARK ENTRANCE - <ID>,106750.0,Hiburan,1
TRF-V BOOKING HOTEL TRAVELOKA - <ID>,44500.0,Transport,4
GRAB RIDE OVO - <ID>,61250.0,Transport,4
KOPI KENANGAN CAFE - <ID>,106900.0,Makanan & Minuman,2
GO-FOOD TRANSAKSI - <ID>,118770.0,Makanan & Minuman,2
BELANJA ELEKTRONIK*MEMO - <ID>,541680.0,Belanja,0
GRAB RIDE OVO - <ID>,62160.0,Transport,4
PEMBAYARAN PLN*REK - <ID>,208000.0,Tagihan,3
TOKOPEDIA*MEMO - <ID>,1053390.0,Belanja,0
MIE GACOAN REST - <ID>,71100.0,Makanan & Minuman,2
T1K3T B10SK0P XX1 - <ID>,262250.0,Hiburan,1
TIKET PESAWAT - <ID>,2998110.0,Transport,4
BELANJA FASHION*MEMO - <ID>,694900.0,Belanja,0
MCDONALDS MEAL PAYMENT - <ID>,33000.0,Makanan & Minuman,2
T1K3T BUS D4MR1 - <ID>,77100.0,Transport,4
SHOPEEPAY*PROMO - <ID>,677000.0,Belanja,0
ISI PULSA/DATA*MEMO - <ID>,855810.0,Tagihan,3
SHOPEEPAY*PROMO - <ID>,67250.0,Belanja,0
TOKOPEDIA*MEMO - <ID>,785500.0,Belanja,0
MIE GACOAN REST - <ID>,46620.0,Makanan & Minuman,2
TIKET PESAWAT - <ID>,2274750.0,Transport,4
GROCERY INDOMARET - <ID>,45510.0,Makanan & Minuman,2
MCDONALDS MEAL PAYMENT - <ID>,23310.0,Makanan & Minuman,2
TIKET KERETA KAI - <ID>,35520.0,Transport,4
ISI BENSIN PERTAMINA - <ID>,56610.0,Transport,4
IKEA*MEMO - <ID>,668220.0,Belanja,0
B00K1NG H0T3L TR4V3L0K4 - <ID>,73000.0,Transport,4
CINEMA XXI MOVIE TICKET - <ID>,70900.0,Hiburan,1
AMUSEMENT PARK ENTRANCE - <ID>,218900.0,Hiburan,1
TIKET BIOSKOP XXI - <ID>,287500.0,Hiburan,1
PEMBAYARAN PAM*PDAM - <ID>,279500.0,Tagihan,3
BELANJA FASHION*MEMO - <ID>,953100.0,Belanja,0
MIE GACOAN REST - <ID>,65490.0,Makanan & Minuman,2
ISI PULSA/DATA*MEMO - <ID>,189000.0,Tagihan,3
M-BCA GRAB RIDE OVO - <ID>,48840.0,Transport,4
SPOTIFY*PREMIUM - <ID>,189810.0,Hiburan,1
TRF-V PEMBAYARAN PAM*PDAM - <ID>,417900.0,Tagihan,3
TOKOPEDIA*MEMO - <ID>,280830.0,Belanja,0
TIKET BIOSKOP XXI - <ID>,145410.0,Hiburan,1
GOPAY GO-RIDE - <ID>,93240.0,Transport,4
BELANJA FASHION*MEMO - <ID>,896000.0,Belanja,0
TOKOPEDIA*MEMO - <ID>,57000.0,Belanja,0
TRF-V MAKAN DI RESTORAN - <ID>,59900.0,Makanan & Minuman,2
KOPI KENANGAN CAFE - <ID>,115250.0,Makanan & Minuman,2
DRV TIKET BUS DAMRI - <ID>,14250.0,Transport,4
TOKOPEDIA*MEMO - <ID>,553000.0,Belanja,0
KOPI KENANGAN CAFE - <ID>,50000.0,Makanan & Minuman,2
BELANJA FASHION*MEMO - <ID>,756000.0,Belanja,0
PEMBAYARAN PAM*PDAM - <ID>,263000.0,Tagihan,3
M-BCA GOPAY GO-RIDE - <ID>,36100.0,Transport,4
MAKAN DI RESTORAN - <ID>,26500.0,Makanan & Minuman,2
TIKET PESAWAT - <ID>,3464310.0,Transport,4
GR4B R1D3 0V0 - <ID>,51500.0,Transport,4
MAKAN DI RESTORAN - <ID>,143100.0,Makanan & Minuman,2
AMUSEMENT PARK ENTRANCE - <ID>,177000.0,Hiburan,1
TOKOPEDIA*MEMO - <ID>,400100.0,Belanja,0
P3MB4Y4R4N PLN*R3K - <ID>,626000.0,Tagihan,3
MCDONALDS MEAL PAYMENT - <ID>,142000.0,Makanan & Minuman,2
BOOKING HOTEL TRAVELOKA - <ID>,24500.0,Transport,4
CINEMA XXI MOVIE TICKET - <ID>,227500.0,Hiburan,1
G0P4Y G0-R1D3 - <ID>,34410.0,Transport,4
KOPI KENANGAN CAFE - <ID>,84000.0,Makanan & Minuman,2
DRV TIKET BIOSKOP XXI - <ID>,66600.0,Hiburan,1
MCDONALDS MEAL PAYMENT - <ID>,45250.0,Makanan & Minuman,2
G0P4Y G0-R1D3 - <ID>,37500.0,Transport,4
IKEA*MEMO - <ID>,423250.0,Belanja,0
GRAB RIDE OVO - <ID>,51000.0,Transport,4
GR4BF00D M3M0 - <ID>,123000.0,Makanan & Minuman,2
M-BCA IKEA*MEMO - <ID>,234210.0,Belanja,0
ASURANSI*AUTO-DEBET - <ID>,592900.0,Tagihan,3
INTERNET WIFI BROADBAND - <ID>,492000.0,Tagihan,3
TIKET PESAWAT - <ID>,2567430.0,Transport,4
GRABFOOD MEMO - <ID>,119880.0,Makanan & Minuman,2
SP0T1FY*PR3M1UM - <ID>,265290.0,Hiburan,1
AMUSEMENT PARK ENTRANCE - <ID>,150960.0,Hiburan,1
KOPI KENANGAN CAFE - <ID>,56000.0,Makanan & Minuman,2
KOPI KENANGAN CAFE - <ID>,63270.0,Makanan & Minuman,2
MCDONALDS MEAL PAYMENT - <ID>,99900.0,Makanan & Minuman,2
SPOTIFY*PREMIUM - <ID>,225330.0,Hiburan,1
PEMBAYARAN PLN*REK - <ID>,709000.0,Tagihan,3
PEMBAYARAN PAM*PDAM - <ID>,670000.0,Tagihan,3
AMUSEMENT PARK ENTRANCE - <ID>,215900.0,Hiburan,1
DRV PEMBAYARAN PLN*REK - <ID>,164000.0,Tagihan,3
TIKET BUS DAMRI - <ID>,72000.0,Transport,4
ASURANSI*AUTO-DEBET - <ID>,611610.0,Tagihan,3
DRV MAKAN DI RESTORAN - <ID>,148000.0,Makanan & Minuman,2
ASURANSI*AUTO-DEBET - <ID>,874680.0,Tagihan,3
PEMBAYARAN PLN*REK - <ID>,145410.0,Tagihan,3
AMUSEMENT PARK ENTRANCE - <ID>,185370.0,Hiburan,1
PEMBAYARAN PLN*REK - <ID>,200910.0,Tagihan,3
IKEA*MEMO - <ID>,549450.0,Belanja,0
T1K3T B10SK0P XX1 - <ID>,206000.0,Hiburan,1
1S1 B3NS1N P3RT4M1N4 - <ID>,99500.0,Transport,4
DRV IKEA*MEMO - <ID>,735930.0,Belanja,0
TRF-V BOOKING HOTEL TRAVELOKA - <ID>,95000.0,Transport,4
MCDONALDS MEAL PAYMENT - <ID>,56610.0,Makanan & Minuman,2
SPOTIFY*PREMIUM - <ID>,228660.0,Hiburan,1
ISI BENSIN PERTAMINA - <ID>,25900.0,Transport,4
ISI PULSA/DATA*MEMO - <ID>,461100.0,Tagihan,3
BELANJA ELEKTRONIK*MEMO - <ID>,264100.0,Belanja,0
GR0C3RY 1ND0M4R3T - <ID>,102000.0,Makanan & Minuman,2
ISI PULSA/DATA*MEMO - <ID>,102750.0,Tagihan,3
TRF-V PEMBAYARAN PLN*REK - <ID>,280000.0,Tagihan,3
AMUSEMENT PARK ENTRANCE - <ID>,253080.0,Hiburan,1
BOOKING HOTEL TRAVELOKA - <ID>,51000.0,Transport,4
BELANJA FASHION*MEMO - <ID>,456210.0,Belanja,0
ASURANSI*AUTO-DEBET - <ID>,267750.0,Tagihan,3
SHOPEEPAY*PROMO - <ID>,412000.0,Belanja,0
PEMBAYARAN PLN*REK - <ID>,433750.0,Tagihan,3
DRV IKEA*MEMO - <ID>,785900.0,Belanja,0
PEMBAYARAN PAM*PDAM - <ID>,748500.0,Tagihan,3
CINEMA XXI MOVIE TICKET - <ID>,284000.0,Hiburan,1
GROCERY INDOMARET - <ID>,104340.0,Makanan & Minuman,2
AMUSEMENT PARK ENTRANCE - <ID>,139860.0,Hiburan,1
MAKAN DI RESTORAN - <ID>,68000.0,Makanan & Minuman,2
SPOTIFY*PREMIUM - <ID>,190000.0,Hiburan,1
DBT GROCERY INDOMARET - <ID>,52170.0,Makanan & Minuman,2
KOPI KENANGAN CAFE - <ID>,39960.0,Makanan & Minuman,2
BOOKING HOTEL TRAVELOKA - <ID>,68100.0,Transport,4
SPOTIFY*PREMIUM - <ID>,276750.0,Hiburan,1
B3L4NJ4 3L3KTR0N1K*M3M0 - <ID>,510600.0,Belanja,0
ISI BENSIN PERTAMINA - <ID>,108000.0,Transport,4
CINEMA XXI MOVIE TICKET - <ID>,71750.0,Hiburan,1
AMUSEMENT PARK ENTRANCE - <ID>,103750.0,Hiburan,1
SHOPEEPAY*PROMO - <ID>,759000.0,Belanja,0
1S1 PULS4/D4T4*M3M0 - <ID>,735000.0,Tagihan,3
GR0C3RY 1ND0M4R3T - <ID>,87690.0,Makanan & Minuman,2
PEMBAYARAN PLN*REK - <ID>,126000.0,Tagihan,3
AMUSEMENT PARK ENTRANCE - <ID>,95500.0,Hiburan,1
SHOPEEPAY*PROMO - <ID>,749000.0,Belanja,0
TRF-V IKEA*MEMO - <ID>,753900.0,Belanja,0
TIKET KERETA KAI - <ID>,86580.0,Transport,4
M-BCA TIKET BIOSKOP XXI - <ID>,112110.0,Hiburan,1
SHOPEEPAY*PROMO - <ID>,136750.0,Belanja,0
MCDONALDS MEAL PAYMENT - <ID>,79000.0,Makanan & Minuman,2
ISI BENSIN PERTAMINA - <ID>,46620.0,Transport,4
GRAB RIDE OVO - <ID>,54390.0,Transport,4
DISNEY HOTSTAR*MEMO - <ID>,136100.0,Hiburan,1
M-BCA DISNEY HOTSTAR*MEMO - <ID>,275100.0,Hiburan,1
M-BCA MAKAN DI RESTORAN - <ID>,26000.0,Makanan & Minuman,2
CINEMA XXI MOVIE TICKET - <ID>,218670.0,Hiburan,1
TIKET KERETA KAI - <ID>,40000.0,Transport,4
TOKOPEDIA*MEMO - <ID>,145500.0,Belanja,0
TRF-V NETFLIX*SUBSCRIPTION - <ID>,225750.0,Hiburan,1
ASURANSI*AUTO-DEBET - <ID>,775750.0,Tagihan,3
D1SN3Y H0TST4R*M3M0 - <ID>,37250.0,Hiburan,1
K0P1 K3N4NG4N C4F3 - <ID>,95460.0,Makanan & Minuman,2
BELANJA FASHION*MEMO - <ID>,348900.0,Belanja,0
GR0C3RY 1ND0M4R3T - <ID>,59900.0,Makanan & Minuman,2
INTERNET WIFI BROADBAND - <ID>,593000.0,Tagihan,3
CINEMA XXI MOVIE TICKET - <ID>,217750.0,Hiburan,1
KOPI KENANGAN CAFE - <ID>,114500.0,Makanan & Minuman,2
SHOPEEPAY*PROMO - <ID>,490900.0,Belanja,0
NETFLIX*SUBSCRIPTION - <ID>,47730.0,Hiburan,1
TIKET PESAWAT - <ID>,1285000.0,Transport,4
BELANJA FASHION*MEMO - <ID>,727000.0,Belanja,0
ASURANSI*AUTO-DEBET - <ID>,316500.0,Tagihan,3
M-BCA BOOKING HOTEL TRAVELOKA - <ID>,61050.0,Transport,4
MAKAN DI RESTORAN - <ID>,37740.0,Makanan & Minuman,2
KOPI KENANGAN CAFE - <ID>,92130.0,Makanan & Minuman,2
PEMBAYARAN PLN*REK - <ID>,179900.0,Tagihan,3
GRABFOOD MEMO - <ID>,131250.0,Makanan & Minuman,2
DBT ISI BENSIN PERTAMINA - <ID>,27000.0,Transport,4
PEMBAYARAN PLN*REK - <ID>,469000.0,Tagihan,3
MAKAN DI RESTORAN - <ID>,116500.0,Makanan & Minuman,2
TIKET KERETA KAI - <ID>,56610.0,Transport,4
DBT BOOKING HOTEL TRAVELOKA - <ID>,50500.0,Transport,4
MCDONALDS MEAL PAYMENT - <ID>,143000.0,Makanan & Minuman,2
GR4BF00D M3M0 - <ID>,24420.0,Makanan & Minuman,2
GRABFOOD MEMO - <ID>,98000.0,Makanan & Minuman,2
BELANJA FASHION*MEMO - <ID>,82140.0,Belanja,0
ASURANSI*AUTO-DEBET - <ID>,738250.0,Tagihan,3
NETFLIX*SUBSCRIPTION - <ID>,160500.0,Hiburan,1
DISNEY HOTSTAR*MEMO - <ID>,46900.0,Hiburan,1
INTERNET WIFI BROADBAND - <ID>,872460.0,Tagihan,3
TRF-V KOPI KENANGAN CAFE - <ID>,104340.0,Makanan & Minuman,2
BELANJA ELEKTRONIK*MEMO - <ID>,593850.0,Belanja,0
INTERNET WIFI BROADBAND - <ID>,446220.0,Tagihan,3
AMUSEMENT PARK ENTRANCE - <ID>,261250.0,Hiburan,1
MAKAN DI RESTORAN - <ID>,157620.0,Makanan & Minuman,2
B00K1NG H0T3L TR4V3L0K4 - <ID>,95100.0,Transport,4
ISI PULSA/DATA*MEMO - <ID>,414000.0,Tagihan,3
MAKAN DI RESTORAN - <ID>,62900.0,Makanan & Minuman,2
PEMBAYARAN PLN*REK - <ID>,146500.0,Tagihan,3
GO-FOOD TRANSAKSI - <ID>,54000.0,Makanan & Minuman,2
NETFLIX*SUBSCRIPTION - <ID>,87690.0,Hiburan,1
1S1 B3NS1N P3RT4M1N4 - <ID>,31080.0,Transport,4
TIKET PESAWAT - <ID>,2681100.0,Transport,4
ISI BENSIN PERTAMINA - <ID>,68000.0,Transport,4
BELANJA FASHION*MEMO - <ID>,614000.0,Belanja,0
TRF-V KOPI KENANGAN CAFE - <ID>,41000.0,Makanan & Minuman,2
MAKAN DI RESTORAN - <ID>,60100.0,Makanan & Minuman,2
AMUSEMENT PARK ENTRANCE - <ID>,258250.0,Hiburan,1
TRF-V PEMBAYARAN PAM*PDAM - <ID>,597500.0,Tagihan,3
DISNEY HOTSTAR*MEMO - <ID>,95460.0,Hiburan,1
TIKET BIOSKOP XXI - <ID>,127650.0,Hiburan,1
DBT DISNEY HOTSTAR*MEMO - <ID>,186500.0,Hiburan,1
GO-FOOD TRANSAKSI - <ID>,51750.0,Makanan & Minuman,2
MCDONALDS MEAL PAYMENT - <ID>,30000.0,Makanan & Minuman,2
BELANJA ELEKTRONIK*MEMO - <ID>,946000.0,Belanja,0
ASURANSI*AUTO-DEBET - <ID>,389750.0,Tagihan,3
4SUR4NS1*4UT0-D3B3T - <ID>,667000.0,Tagihan,3
MCDONALDS MEAL PAYMENT - <ID>,97500.0,Makanan & Minuman,2
P3MB4Y4R4N PLN*R3K - <ID>,279500.0,Tagihan,3
BELANJA FASHION*MEMO - <ID>,441780.0,Belanja,0
TRF-V BOOKING HOTEL TRAVELOKA - <ID>,84000.0,Transport,4
TIKET KERETA KAI - <ID>,41000.0,Transport,4
PEMBAYARAN PAM*PDAM - <ID>,624000.0,Tagihan,3
GROCERY INDOMARET - <ID>,34410.0,Makanan & Minuman,2
PEMBAYARAN PLN*REK - <ID>,189000.0,Tagihan,3
SHOPEEPAY*PROMO - <ID>,123210.0,Belanja,0
PEMBAYARAN PLN*REK - <ID>,621000.0,Tagihan,3
DBT IKEA*MEMO - <ID>,718500.0,Belanja,0
PEMBAYARAN PAM*PDAM - <ID>,293000.0,Tagihan,3
1S1 B3NS1N P3RT4M1N4 - <ID>,83250.0,Transport,4
TOKOPEDIA*MEMO - <ID>,708000.0,Belanja,0
BOOKING HOTEL TRAVELOKA - <ID>,16000.0,Transport,4
BOOKING HOTEL TRAVELOKA - <ID>,106000.0,Transport,4
GO-FOOD TRANSAKSI - <ID>,47250.0,Makanan & Minuman,2
ASURANSI*AUTO-DEBET - <ID>,338550.0,Tagihan,3
DRV GO-FOOD TRANSAKSI - <ID>,148740.0,Makanan & Minuman,2
GROCERY INDOMARET - <ID>,33300.0,Makanan & Minuman,2
GRAB RIDE OVO - <ID>,48840.0,Transport,4
IKEA*MEMO - <ID>,1035630.0,Belanja,0
M-BCA BOOKING HOTEL TRAVELOKA - <ID>,95460.0,Transport,4
DBT GRAB RIDE OVO - <ID>,75900.0,Transport,4
PEMBAYARAN PLN*REK - <ID>,589750.0,Tagihan,3
GR0C3RY 1ND0M4R3T - <ID>,28860.0,Makanan & Minuman,2
DISNEY HOTSTAR*MEMO - <ID>,236430.0,Hiburan,1
AMUSEMENT PARK ENTRANCE - <ID>,41500.0,Hiburan,1
PEMBAYARAN PLN*REK - <ID>,111500.0,Tagihan,3
MCDONALDS MEAL PAYMENT - <ID>,103230.0,Makanan & Minuman,2
T1K3T BUS D4MR1 - <ID>,33250.0,Transport,4
CINEMA XXI MOVIE TICKET - <ID>,211500.0,Hiburan,1
TIKET BIOSKOP XXI - <ID>,245750.0,Hiburan,1
TIKET BIOSKOP XXI - <ID>,145900.0,Hiburan,1
BELANJA ELEKTRONIK*MEMO - <ID>,270840.0,Belanja,0
ASURANSI*AUTO-DEBET - <ID>,247750.0,Tagihan,3
SHOPEEPAY*PROMO - <ID>,524000.0,Belanja,0
DRV PEMBAYARAN PLN*REK - <ID>,771450.0,Tagihan,3
ISI BENSIN PERTAMINA - <ID>,52500.0,Transport,4
TIKET PESAWAT - <ID>,1833000.0,Transport,4
MAKAN DI RESTORAN - <ID>,58000.0,Makanan & Minuman,2
CINEMA XXI MOVIE TICKET - <ID>,153100.0,Hiburan,1
NETFLIX*SUBSCRIPTION - <ID>,294500.0,Hiburan,1
G0-F00D TR4NS4KS1 - <ID>,92000.0,Makanan & Minuman,2
GRAB RIDE OVO - <ID>,19900.0,Transport,4
GRABFOOD MEMO - <ID>,137640.0,Makanan & Minuman,2
K0P1 K3N4NG4N C4F3 - <ID>,150000.0,Makanan & Minuman,2
IKEA*MEMO - <ID>,58250.0,Belanja,0
DBT TIKET BUS DAMRI - <ID>,81000.0,Transport,4
TOKOPEDIA*MEMO - <ID>,440500.0,Belanja,0
NETFLIX*SUBSCRIPTION - <ID>,173160.0,Hiburan,1
TRF-V BELANJA FASHION*MEMO - <ID>,219000.0,Belanja,0
M-BCA MIE GACOAN REST - <ID>,111100.0,Makanan & Minuman,2
PEMBAYARAN PAM*PDAM - <ID>,159000.0,Tagihan,3
TIKET KERETA KAI - <ID>,48000.0,Transport,4
CINEMA XXI MOVIE TICKET - <ID>,285000.0,Hiburan,1
ISI PULSA/DATA*MEMO - <ID>,728000.0,Tagihan,3
CINEMA XXI MOVIE TICKET - <ID>,229900.0,Hiburan,1
M-BCA NETFLIX*SUBSCRIPTION - <ID>,127750.0,Hiburan,1
DBT PEMBAYARAN PLN*REK - <ID>,336000.0,Tagihan,3
PEMBAYARAN PLN*REK - <ID>,439560.0,Tagihan,3
KOPI KENANGAN CAFE - <ID>,27500.0,Makanan & Minuman,2
PEMBAYARAN PLN*REK - <ID>,409000.0,Tagihan,3
B3L4NJ4 F4SH10N*M3M0 - <ID>,376500.0,Belanja,0
T1K3T BUS D4MR1 - <ID>,29500.0,Transport,4
GROCERY INDOMARET - <ID>,24420.0,Makanan & Minuman,2
TIKET PESAWAT - <ID>,3134500.0,Transport,4
GROCERY INDOMARET - <ID>,130000.0,Makanan & Minuman,2
TRF-V ASURANSI*AUTO-DEBET - <ID>,427350.0,Tagihan,3
CINEMA XXI MOVIE TICKET - <ID>,73260.0,Hiburan,1
DBT GOPAY GO-RIDE - <ID>,12210.0,Transport,4
BELANJA FASHION*MEMO - <ID>,395160.0,Belanja,0
GR4B R1D3 0V0 - <ID>,39900.0,Transport,4
TOKOPEDIA*MEMO - <ID>,950000.0,Belanja,0
PEMBAYARAN PLN*REK - <ID>,262100.0,Tagihan,3
BELANJA ELEKTRONIK*MEMO - <ID>,502000.0,Belanja,0
TRF-V KOPI KENANGAN CAFE - <ID>,58830.0,Makanan & Minuman,2
DISNEY HOTSTAR*MEMO - <ID>,281000.0,Hiburan,1
IKEA*MEMO - <ID>,228000.0,Belanja,0
MAKAN DI RESTORAN - <ID>,100100.0,Makanan & Minuman,2
SH0P33P4Y*PR0M0 - <ID>,298590.0,Belanja,0
BELANJA FASHION*MEMO - <ID>,314000.0,Belanja,0
DRV SHOPEEPAY*PROMO - <ID>,366000.0,Belanja,0
TIKET BIOSKOP XXI - <ID>,236500.0,Hiburan,1
SHOPEEPAY*PROMO - <ID>,781250.0,Belanja,0
P3MB4Y4R4N PLN*R3K - <ID>,839160.0,Tagihan,3
ISI PULSA/DATA*MEMO - <ID>,331000.0,Tagihan,3
GRABFOOD MEMO - <ID>,143500.0,Makanan & Minuman,2
DBT ISI PULSA/DATA*MEMO - <ID>,94350.0,Tagihan,3
PEMBAYARAN PLN*REK - <ID>,381840.0,Tagihan,3
MCDONALDS MEAL PAYMENT - <ID>,93500.0,Makanan & Minuman,2
CINEMA XXI MOVIE TICKET - <ID>,298590.0,Hiburan,1
TIKET BIOSKOP XXI - <ID>,45510.0,Hiburan,1
ISI PULSA/DATA*MEMO - <ID>,213120.0,Tagihan,3
TIKET KERETA KAI - <ID>,23500.0,Transport,4
ASURANSI*AUTO-DEBET - <ID>,706900.0,Tagihan,3
B00K1NG H0T3L TR4V3L0K4 - <ID>,18750.0,Transport,4
ISI PULSA/DATA*MEMO - <ID>,634000.0,Tagihan,3
1S1 B3NS1N P3RT4M1N4 - <ID>,30000.0,Transport,4
SHOPEEPAY*PROMO - <ID>,924000.0,Belanja,0
GRABFOOD MEMO - <ID>,130000.0,Makanan & Minuman,2
DRV SHOPEEPAY*PROMO - <ID>,632000.0,Belanja,0
TRF-V PEMBAYARAN PLN*REK - <ID>,139000.0,Tagihan,3
PEMBAYARAN PAM*PDAM - <ID>,237000.0,Tagihan,3
